0,3923,42.3956%
18465,3903,41.6697%
18521,3891,41.2341%
21884,3887,41.0889%
21939,3865,40.2904%
25546,3858,40.0363%
25732,3846,39.6007%
25799,3822,38.7296%
25828,3816,38.5118%
29059,3796,37.7858%
31139,3757,36.3702%
33224,3731,35.4265%
33955,3713,34.7731%
34020,3697,34.1924%
34038,3684,33.7205%
34406,3556,29.0744%
36964,3538,28.4211%
39973,3530,28.1307%
39985,3510,27.4047%
39989,3490,26.6788%
45777,3486,26.5336%
45856,3466,25.8076%
47011,3438,24.7913%
50915,3425,24.3194%
59077,3423,24.2468%
61352,3418,24.0653%
69987,3376,22.5408%
