0,3535,43.41%
233,3534,43.37%
236,3531,43.25%
237,3529,43.16%
239,3527,43.08%
241,3526,43.04%
243,3525,43.00%
245,3524,42.96%
246,3522,42.88%
249,3521,42.84%
251,3520,42.80%
253,3519,42.76%
254,3516,42.64%
260,3512,42.47%
261,3509,42.35%
262,3508,42.31%
266,3506,42.23%
270,3503,42.11%
271,3501,42.03%
272,3497,41.87%
290,3496,41.83%
315,3495,41.79%
326,3493,41.70%
327,3481,41.22%
335,3480,41.18%
337,3478,41.10%
338,3471,40.81%
339,3470,40.77%
341,3468,40.69%
342,3467,40.65%
344,3459,40.32%
351,3458,40.28%
354,3457,40.24%
379,3454,40.12%
389,3450,39.96%
394,3446,39.80%
398,3442,39.63%
400,3439,39.51%
401,3433,39.27%
404,3431,39.19%
405,3428,39.07%
411,3418,38.66%
428,3417,38.62%
448,3415,38.54%
451,3414,38.50%
452,3412,38.42%
453,3411,38.38%
457,3410,38.34%
460,3409,38.30%
461,3408,38.26%
462,3407,38.22%
463,3405,38.13%
465,3404,38.09%
467,3400,37.93%
470,3399,37.89%
472,3398,37.85%
473,3394,37.69%
474,3391,37.57%
476,3379,37.08%
481,3375,36.92%
485,3369,36.67%
486,3368,36.63%
487,3366,36.55%
489,3365,36.51%
521,3364,36.47%
523,3352,35.98%
582,3351,35.94%
589,3344,35.66%
592,3343,35.62%
595,3338,35.42%
598,3330,35.09%
601,3329,35.05%
604,3319,34.65%
607,3318,34.60%
612,3317,34.56%
618,3315,34.48%
623,3299,33.83%
625,3289,33.43%
633,3281,33.10%
636,3278,32.98%
639,3274,32.82%
640,3272,32.74%
643,3270,32.66%
646,3265,32.45%
660,3259,32.21%
690,3257,32.13%
693,3254,32.01%
701,3246,31.68%
702,3244,31.60%
707,3239,31.40%
710,3235,31.24%
720,3233,31.16%
721,3232,31.12%
723,3231,31.08%
724,3229,30.99%
736,3223,30.75%
747,3213,30.34%
880,3203,29.94%
892,3202,29.90%
930,3186,29.25%
948,3185,29.21%
956,3180,29.01%
1017,3175,28.80%
1018,3174,28.76%
1026,3172,28.68%
1028,3164,28.36%
1031,3163,28.32%
1032,3162,28.28%
1033,3155,27.99%
1034,3153,27.91%
1039,3149,27.75%
1040,3147,27.67%
1049,3142,27.46%
1054,3139,27.34%
1090,3137,27.26%
1104,3136,27.22%
1113,3135,27.18%
1123,3129,26.94%
1229,3126,26.82%
1368,3120,26.57%
1395,3116,26.41%
1416,3110,26.17%
1484,3107,26.04%
1497,3099,25.72%
1525,3098,25.68%
1536,3096,25.60%
1540,3088,25.27%
1541,3082,25.03%
1569,3079,24.91%
1576,3076,24.79%
1580,3068,24.46%
1581,3066,24.38%
1590,3060,24.14%
1600,3057,24.02%
1614,3056,23.98%
1648,3052,23.81%
1749,3045,23.53%
1757,3044,23.49%
1762,3036,23.16%
1764,3032,23.00%
1773,3030,22.92%
1789,3029,22.88%
1801,3026,22.76%
1935,3025,22.72%
1955,3017,22.39%
1984,3014,22.27%
1992,3012,22.19%
1994,3009,22.07%
2001,3008,22.03%
2006,3007,21.99%
2013,3004,21.87%
2015,3003,21.83%
2016,3002,21.79%
2019,3000,21.70%
2020,2996,21.54%
2023,2991,21.34%
2025,2989,21.26%
2027,2986,21.14%
2044,2982,20.97%
2071,2981,20.93%
2087,2980,20.89%
2131,2974,20.65%
2227,2971,20.53%
2237,2969,20.45%
2271,2968,20.41%
2272,2964,20.24%
2412,2958,20.00%
2417,2957,19.96%
2420,2950,19.68%
2422,2948,19.59%
2430,2947,19.55%
2650,2946,19.51%
2780,2942,19.35%
2784,2937,19.15%
2951,2935,19.07%
2958,2932,18.95%
2975,2930,18.86%
2979,2927,18.74%
2989,2926,18.70%
2993,2920,18.46%
3015,2917,18.34%
3490,2913,18.17%
3512,2912,18.13%
3820,2902,17.73%
3827,2897,17.53%
3832,2894,17.40%
3857,2889,17.20%
4061,2888,17.16%
4216,2886,17.08%
4312,2879,16.80%
4319,2878,16.75%
4424,2874,16.59%
5208,2870,16.43%
5354,2867,16.31%
5381,2866,16.27%
5541,2863,16.15%
6011,2862,16.11%
6016,2859,15.98%
6024,2857,15.90%
6035,2855,15.82%
6473,2852,15.70%
7114,2845,15.42%
7509,2838,15.13%
8247,2835,15.01%
8367,2832,14.89%
8800,2830,14.81%
8882,2829,14.77%
8909,2828,14.73%
9218,2825,14.60%
9709,2820,14.40%
10083,2816,14.24%
10667,2810,14.00%
11695,2808,13.91%
11781,2800,13.59%
11804,2798,13.51%
12023,2797,13.47%
12309,2796,13.43%
12703,2787,13.06%
12744,2786,13.02%
12955,2785,12.98%
13236,2784,12.94%
13351,2777,12.66%
16764,2775,12.58%
16941,2774,12.54%
17914,2764,12.13%
18506,2762,12.05%
18810,2758,11.89%
19028,2755,11.76%
19551,2749,11.52%
20968,2742,11.24%
22023,2741,11.20%
22239,2737,11.03%
22640,2727,10.63%
22775,2722,10.43%
23824,2719,10.30%
25215,2715,10.14%
25249,2714,10.10%
25322,2711,9.98%
25384,2710,9.94%
25607,2702,9.61%
25677,2701,9.57%
25732,2700,9.53%
26085,2694,9.29%
26350,2690,9.13%
26699,2687,9.01%
26855,2683,8.84%
28508,2680,8.72%
33649,2677,8.60%
35201,2675,8.52%
35340,2673,8.44%
38517,2672,8.40%
39233,2670,8.32%
40056,2668,8.24%
40662,2665,8.11%
40771,2661,7.95%
41071,2655,7.71%
42093,2654,7.67%
42124,2651,7.55%
42610,2647,7.38%
42936,2644,7.26%
44178,2640,7.10%
44986,2639,7.06%
45510,2630,6.69%
